ResponseId,LocationLatitude,LocationLongitude,Q36_First Click,Q36_Last Click,Q36_Page Submit,Q36_Click Count,Q1.2,Q2.2,Q3.1,Q4.3,Q5.3,Q6.2
R_6js9fRIgIwdVRfj,30.0523,-95.3707,0.768,14.6,15.382,10.0,3,3,3,1,2,2
R_3nDDROCvG4U5Wbk,37.751,-97.822,0.343,3.325,4.385,4.0,4,3,4,2,2,3
R_6PGf3CW3pTgDrTf,37.751,-97.822,2.937,4.705,5.866,3.0,4,5,4,1,2,2
R_1pmxZnt0czNH6i4,37.751,-97.822,0.462,8.7,9.422,5.0,4,5,4,2,1,3
R_7dSTDzFmVVCiLuH,34.2149,-119.1761,4.443,12.109,12.702,6.0,2,1,1,1,2,3
R_1iW4ST8KoJz4rxn,41.5312,-72.0875,13.317,17.324,18.479,3.0,3,1,1,1,3,2
R_34AfFve3VuXPYRb,33.7485,-84.3871,13.691,19.563,20.504,3.0,5,4,4,1,2,3
R_6Sq5hwqTtWMitZq,41.2656,-74.3604,1.017,15.996,17.4,12.0,4,3,2,2,4,2
R_5Gix67TMY0YgBvX,31.7703,-106.3006,4.403,7.388,7.758,4.0,4,4,4,2,2,2
R_11vrSUY2kNjNNWV,34.003,-117.9746,3.606,7.855,8.463,4.0,4,3,4,2,2,2
R_5uw7VPSdYnKDkoF,40.8897,-74.4847,5.95,9.214,9.924,3.0,4,3,3,2,3,1
R_6nDyESqJczgr2b0,40.7876,-74.06,0.0,0.0,9.106,0.0,4,3,4,2,3,2
R_1qVSrb46AYoRjkH,39.018,-77.539,2.186,4.402,5.452,3.0,4,3,4,1,2,1
R_5Lb46TqcmOtTQYo,37.751,-97.822,0.0,0.0,4.178,0.0,4,3,4,1,2,1
R_3pJrxr5CTs381sv,35.2916,-80.8201,4.435,6.441,7.71,3.0,4,3,4,1,3,1
R_3EC48MXB40q5Egp,42.7893,-83.7135,6.816,113.505,114.503,10.0,5,4,5,1,3,2
R_3MS46ApkWZRetYB,35.2916,-80.8201,1.959,3.642,4.717,3.0,4,3,4,2,2,1
R_5CCFfPySEJrb9vP,42.1955,-83.4894,3.553,7.553,10.117,3.0,4,2,3,2,3,3
R_7PmLQoz5ee5sfet,37.8075,-122.2644,10.362,16.698,17.397,3.0,4,4,3,1,4,2
R_54IZjxmNhN3nI0F,40.7035,-73.9235,6.784,19.892,20.784,15.0,5,3,3,1,3,2
R_7OrDpvIi38ov4Mi,37.751,-97.822,1.615,10.229,11.356,6.0,4,5,4,1,2,3
R_3ByrJPOz9nPUME8,40.5468,-74.1804,2.723,10.494,11.177,7.0,5,5,5,1,2,3
R_52pW2lhJTFUK9WN,37.386,-122.0144,7.615,13.381,14.052,5.0,3,3,3,1,2,2
R_5Wx8VWExnlnZuJF,36.5246,-76.1783,4.691,22.394,23.697,7.0,5,4,4,1,2,2
R_7B3Bs3CP6NeGI0Z,41.0996,-80.7523,2.033,9.8,11.099,7.0,4,4,4,2,2,2
R_6YVPyzQwb037sbM,41.4221,-91.0371,9.038,14.877,16.195,3.0,5,3,3,2,3,2
R_1uDSoZPslJE1pBc,29.9481,-90.207,2.371,12.728,13.534,6.0,3,3,3,1,2,2
R_3dceimmE0U6IWRa,28.4113,-81.7812,40.163,93.597,94.926,3.0,5,2,2,1,3,3
R_6RNVqMY7DLtlIYW,40.1117,-82.9728,7.666,11.186,12.836,3.0,4,2,2,2,2,2
R_794ZYBbSHAV4ezL,40.2332,-76.1372,5.132,8.26,8.907,3.0,4,2,2,1,3,3
R_5Hq2h9EUFY5z0gG,30.209,-92.0607,7.776,10.262,13.106,3.0,3,1,1,2,2,2
R_7BxRaFZyHKJXjye,34.3771,-82.3473,6.888,9.665,10.738,3.0,4,3,3,1,3,2
R_5eqpsNyRJEZyYok,40.8116,-81.4973,0.0,0.0,9.05,0.0,5,5,4,2,2,2
R_5dXRGG1U9Y0dYzn,38.9609,-77.3429,9.839,14.634,15.536,3.0,3,4,4,1,2,2
R_3vYRh9qTMiGwDcX,42.509,-71.1984,8.748,20.811,21.465,5.0,4,3,3,2,4,2
R_5qWIXhkVpyO645i,36.8009,-76.4227,6.754,9.747,10.399,3.0,5,3,4,1,3,3
R_1q9fhwb9kNwT123,37.3825,-79.2181,1.106,4.671,5.962,3.0,2,4,3,1,2,3
R_3uOIwDlhF3QEST7,30.32,-97.7378,8.69,12.881,14.517,3.0,4,2,2,1,3,3
R_5geDVE2lTMlisxz,38.9609,-77.3429,3.756,7.676,8.57,3.0,4,4,5,2,2,2
R_1tJMmwSTNx4ztgM,42.143,-77.0457,4.466,8.136,8.82,3.0,4,4,3,2,2,2
R_5jZePpBW00ipzkt,34.1736,-82.1545,8.824,18.349,19.686,8.0,4,4,3,1,4,2
R_1FHdIOUqfyDOaJz,26.165,-97.9892,8.951,14.075,15.174,3.0,4,3,3,1,3,2
R_1CDCPrI9esvyrb8,42.4723,-82.9967,10.862,14.07,14.536,3.0,5,4,3,2,3,1
R_7GH9RPAYYEeTSw0,46.7952,-96.8332,8.613,15.164,15.948,3.0,5,4,4,1,2,2
R_6EvpqpBzM3Ml2Ya,30.3737,-87.3126,5.218,11.971,13.214,4.0,3,3,2,2,2,3
R_3mPFlxcUstWdjWy,40.0466,-87.6373,2.771,6.707,7.226,3.0,4,4,4,1,2,2
R_5quIRoH6L07rX1f,44.9064,-93.2406,7.099,17.353,18.295,12.0,5,5,4,2,4,2
R_62vjE0KEtn4FfB7,38.2345,-85.7236,6.1,12.998,13.751,3.0,5,4,4,2,3,3
R_5QhOWYcsR1yW6nG,35.8663,-106.2676,4.152,9.38,10.995,3.0,3,1,1,2,2,2
R_5eV84KMSSiaG2Vw,37.3322,-82.9783,6.682,8.105,9.866,3.0,4,4,4,2,2,2
R_73VUawSUGNp1zaO,41.892,-87.6416,23.029,33.227,35.269,4.0,5,3,4,2,2,2
R_5CCSBoTL6hEeUOL,39.1995,-94.5265,6.195,16.477,17.834,3.0,5,3,3,2,4,2
R_7q1rF0EQPwnSdsl,32.4301,-80.6694,16.332,20.692,21.496,3.0,4,4,3,2,4,2
R_6b34ZZCQ9Ggp6pP,40.6627,-73.9138,11.871,15.887,16.793,3.0,5,5,5,1,3,2
R_76rcpIdfI5YNaKJ,34.113,-118.1888,2.797,4.878,5.468,3.0,5,4,4,2,3,3
R_3mxet7JPNZrtWUN,33.0563,-96.7341,7.187,11.555,12.43,3.0,5,1,1,2,3,2
R_66DJEtQER4rBjsR,36.1052,-86.6591,2.637,4.46,5.304,3.0,5,5,5,2,2,2
R_3gFk6LGP6wwxQMm,34.8966,-82.2689,3.686,11.315,12.493,3.0,3,2,2,2,3,2
R_100Ko8PNxwkQd2Y,33.7043,-84.3742,9.814,35.898,38.613,3.0,5,5,5,2,4,2
R_3Ol6WOaHwYoVXN4,33.0273,-80.1768,11.777,24.454,25.476,6.0,5,5,5,1,2,2
R_3EuFzUwuPDSXsPa,39.308,-76.6734,4.049,5.802,7.039,3.0,3,3,3,2,2,2
R_7QmtYzPJu9b53UL,41.141,-81.4768,6.243,11.677,12.101,4.0,5,3,2,2,2,2
R_3BOUYJzKJTe6rS6,43.4167,-86.357,2.876,12.025,13.355,12.0,5,3,3,1,3,2
R_7ggUU6blArXYv4J,33.8187,-84.5824,7.777,14.701,15.664,3.0,4,4,3,1,3,2
R_3jYAdpNfTRLycvX,41.8835,-87.6305,5.202,9.058,9.675,3.0,4,2,2,2,2,2
R_7s1ttNoPN67RXV4,39.9703,-75.0617,3.377,8.512,8.796,4.0,3,2,2,2,2,2
R_5321xqwEtEByU1O,42.327,-71.2008,57.469,62.538,63.354,3.0,3,3,3,2,2,2
R_3JxzPJFPdHQLsGt,48.1999,-114.3034,9.297,14.101,14.99,3.0,5,4,4,1,2,2
R_5gPBppmBVgi3gat,43.5689,-86.0395,7.017,10.896,12.167,3.0,4,3,3,1,2,2
R_1ImCWxEU7tL8McT,38.9894,-76.5494,6.022,8.857,9.534,3.0,5,5,5,1,2,2
R_5jZNWGL1UqR3NfA,40.3356,-79.6185,9.786,20.352,21.056,4.0,4,3,3,1,2,2
R_6ngK4OjguBfu0rD,41.8451,-71.4388,3.47,6.63,7.22,3.0,4,2,1,1,2,2
R_3jw6tHse9KHazSL,26.0168,-80.1537,29.065,34.497,36.605,3.0,4,5,4,2,4,2
R_72SsDPfr82S4dbP,39.9828,-75.8239,8.264,12.048,13.534,3.0,3,2,3,1,4,2
R_3pRGbU55OlVjMDB,39.018,-77.539,2.304,3.933,4.98,3.0,4,5,4,2,3,2
R_1WGfc1syQDEEyX1,45.0435,-93.4827,6.77,11.255,12.119,4.0,4,3,3,2,2,2
R_5Sp3a7OYoAg24NM,37.751,-97.822,3.067,5.466,6.809,3.0,4,4,4,1,3,2
R_1B2P4gKowgPNLcp,35.4666,-79.1758,29.296,33.508,34.793,4.0,5,5,5,1,2,1
R_30nU6tUHEMqbEeB,34.0414,-84.5053,165.99,192.317,193.883,5.0,3,1,1,2,3,1
R_1BfJOwuWmkvrGdR,37.6451,-84.7703,16.884,38.541,39.434,3.0,5,4,4,1,4,2
R_6aWwRcppOGvrDJT,39.1489,-84.4858,3.884,9.061,9.858,4.0,5,2,2,2,2,3
R_6EFdSn6SGg2FSy1,42.2958,-71.3018,5.78,10.551,11.163,4.0,3,1,1,2,3,3
R_5EiZCsmY4pQZlIF,40.7126,-74.0066,6.277,11.842,12.536,3.0,4,2,3,2,2,2
R_1xkPBDfiu7oojER,27.935,-82.3772,15.324,17.829,18.501,3.0,3,3,3,1,2,3
R_7dyQnQkBtkPPLqy,38.8463,-77.4667,9.527,13.603,19.39,3.0,2,1,1,2,3,3
R_1hXflV4viCdckUM,32.0773,-81.0901,2.011,4.401,5.244,3.0,2,1,1,1,2,2
R_1cV782fqHCcZSBy,36.0765,-79.7947,3.815,6.501,7.193,3.0,4,3,4,2,2,2
R_3i2jqRwg3hrIHiq,40.7149,-73.9893,3.831,11.249,12.454,4.0,2,2,2,2,2,2
R_3esLYSfQ52gnHaS,31.5822,-97.1768,8.371,17.179,18.535,5.0,2,1,1,2,3,1
R_7BnBmz3sR41eVov,34.7102,-85.2687,7.595,13.557,14.778,3.0,5,5,5,2,4,2
R_1RHyed27ZPOv6Nj,34.1027,-118.2231,1.402,2.267,3.116,4.0,4,4,4,2,2,2
R_1pFgrkmFJDDFszN,29.4963,-98.4004,3.403,11.511,12.06,9.0,5,3,3,2,3,2
R_5V2RMhN37YmLsbU,37.751,-97.822,8.455,11.929,12.477,3.0,5,2,2,2,3,2
R_3bUfxSPwjk0dWfL,39.018,-77.539,2.88,6.879,7.417,3.0,4,3,5,1,2,1
R_5443XY3q6uDvJjb,33.7372,-117.8232,0.222,3.549,4.233,5.0,1,4,3,2,1,1
R_1Ic6ocNCzRo9SdX,42.0595,-104.1911,11.131,18.939,19.779,4.0,5,4,1,2,4,2
R_7IQP1zaQXt6zgF0,37.751,-97.822,0.0,0.0,12.624,0.0,4,5,4,2,2,2
R_1HS0VAA6c73QS2v,39.018,-77.539,2.026,3.569,4.095,3.0,5,4,4,2,3,2
R_3fUbJxznklujSi9,38.9609,-77.3429,6.047,10.709,11.47,3.0,4,2,3,2,2,2
R_7ptBH3gCDy6QqN0,31.0594,-87.4855,7.674,11.899,12.733,3.0,5,5,5,1,2,2
R_6PXnN6KPh8YplBF,39.0761,-108.5451,7.597,15.044,15.965,4.0,5,4,4,2,2,2
R_6hnJcFxP79LO4wS,30.5045,-97.8209,5.313,10.522,11.187,3.0,4,4,3,2,3,3
R_5ur5S81xYd9dedH,33.8578,-117.7869,15.569,25.383,26.65,6.0,2,1,1,1,4,1
R_6VemN9xLDBG54id,44.7842,-88.0588,8.697,13.649,14.351,3.0,5,1,1,2,2,3
R_3BrrVX4WincRkj5,42.0982,-80.0861,6.225,10.61,11.23,5.0,4,4,3,2,2,2
R_3mKtcQMDgcmJ8yZ,46.7314,-117.1733,11.889,17.941,19.219,4.0,4,2,3,1,4,2
R_6yl5thkdkmwEgrr,32.7797,-96.8022,3.763,8.383,9.157,3.0,5,2,2,1,2,2
R_1LcnrC2tdYHXEZx,39.018,-77.539,2.342,4.777,5.904,3.0,4,5,4,1,2,2
R_7pE9hHMeaOZjg1B,39.018,-77.539,1.936,3.179,4.254,3.0,4,5,4,1,3,2
R_3Ny3JWuPQhh7ENi,41.946,-87.7033,14.763,26.814,28.001,3.0,3,3,3,1,4,2
R_7TBJKQ6ABTjNl8x,29.6471,-95.4871,7.477,15.536,16.071,3.0,4,4,4,2,2,2
R_5pZ4pQ01SOSS9Tb,39.0469,-77.4903,2.37,13.276,16.0,7.0,4,4,3,2,2,2
R_58H1iM6pmUDxHPz,39.7593,-104.9651,4.517,7.309,8.155,3.0,4,2,2,3,2,3
R_6OI6KE3Ex9BXfEa,39.1877,-84.4572,4.824,7.226,8.1,3.0,4,4,4,2,2,2
R_1OdhiF8qG5uNO0z,42.5781,-71.805,6.8,9.769,10.854,3.0,3,1,1,2,3,3
R_1Jg5FOMVvJZl790,34.0609,-118.2414,1.571,3.023,3.466,3.0,4,3,4,2,3,2
R_6Q4mYxzAlS1Aj3r,28.4883,-81.4061,18.311,27.665,29.367,3.0,4,2,2,1,4,3
R_5T8X4HYaZUCRBFn,42.5531,-87.9334,4.305,8.749,9.443,4.0,4,4,4,2,2,2
R_7pM9VGKde4te3rN,38.4409,-81.4799,12.756,17.627,18.798,4.0,4,3,2,2,4,1
R_1ftNH8kRwaPtxDj,44.8993,-92.9272,5.337,7.204,7.692,3.0,5,5,5,1,2,2
R_6dLVrCZlGIkd5h7,42.6734,-82.7736,16.065,19.831,20.251,3.0,5,5,5,1,2,2
R_7me1G3k65nRJddu,34.1994,-118.5972,9.015,13.743,14.648,3.0,5,5,5,1,3,2
R_6fqGRrw3fZ6mIxR,40.4488,-79.9951,2.6,5.698,6.451,4.0,4,3,3,2,1,2
R_64PwdUpaBVPuaVX,41.1144,-74.0429,11.938,14.124,14.802,3.0,5,4,5,2,3,2
R_3GpjiAG1RoF2qg9,37.6811,-122.4806,8.378,13.61,14.215,6.0,4,3,4,2,2,2
R_5RqFFHlzkHrYObb,26.3898,-80.2145,8.138,13.935,14.888,4.0,2,3,3,2,3,2
R_1P6v6QZgnjckwq8,37.3825,-79.2181,4.076,7.056,8.418,3.0,5,5,3,2,2,2
R_7kvxnox7SDE0rBg,39.025,-84.4392,5.62,14.519,15.538,5.0,5,4,4,1,4,3
R_3cGvqdlgUUDmN4l,39.018,-77.539,4.381,7.602,12.479,3.0,4,3,4,1,2,2
R_6QK7ksZJR9u4YSJ,42.2314,-83.6344,7.208,11.486,12.192,3.0,5,2,1,2,2,3
R_7rJK0ORDfYeRbq5,34.11,-118.2607,2.029,3.596,4.081,3.0,4,4,4,1,2,2
R_10NNV7VsugCUPs4,28.2793,-82.4628,6.543,10.231,11.152,3.0,5,5,5,2,3,2
R_6zeveoLU6ME1rSm,45.4804,-122.5891,5.799,14.558,15.305,3.0,4,4,4,2,3,1
R_7nPGTTxV4fWRxNN,45.5411,-122.5605,14.503,27.374,28.442,5.0,4,3,3,2,4,3
R_6EW21oOf6pNAqyi,41.8446,-89.4889,40.103,43.677,44.584,3.0,3,1,1,2,2,3
R_5QRfmDFz7JWkfQt,40.2197,-74.5939,6.607,11.344,12.223,4.0,5,1,1,1,2,2
R_34NPKEXvO8EDUQN,33.8607,-84.6884,0.0,0.0,6.796,0.0,5,5,5,2,3,1
R_5P18PZ04LyQcbJv,32.7908,-96.8336,2.267,4.962,5.864,4.0,4,5,3,2,2,3
R_5eb8SzoKYYNgmEb,32.9103,-96.7283,48.024,49.974,50.612,3.0,5,5,4,1,3,2
R_3HFWcPfGz6v0aad,39.4972,-119.7764,12.811,16.331,16.701,3.0,4,5,3,2,2,2
R_3n1xWxuPJQd0Uk0,37.751,-97.822,1.709,3.643,4.315,4.0,4,5,5,1,2,3
R_1S0Nu6x2lB2Q0I0,42.2853,-87.9532,11.538,16.769,17.525,3.0,3,2,2,1,3,1
R_6cnnoP8SyYSGkiB,37.751,-97.822,19.198,24.038,28.546,3.0,4,2,3,1,3,2
R_3xShRzJ17gd4usJ,37.751,-97.822,1.9,3.484,4.146,3.0,4,5,4,2,2,2
R_5INw7a8XCNOWF0d,33.9043,-80.877,4.44,21.111,21.96,11.0,5,4,3,2,2,2
R_6nrlO5g9S3LfOnv,39.0469,-77.4903,2.023,3.534,4.186,3.0,4,5,4,2,2,2
R_7Q7o5rJb42IWzMR,39.7491,-104.9945,0.516,3.134,3.577,4.0,4,5,5,1,2,2
R_5fDfWstcdWMTDwb,37.751,-97.822,0.937,4.423,5.044,3.0,4,3,3,2,3,2
R_3c1qu3Cw4uGYw3X,40.2861,-84.1729,12.353,15.473,16.101,3.0,5,5,5,1,2,2
R_77BAFkxG666owg0,37.751,-97.822,2.724,4.428,5.481,3.0,3,4,3,1,2,2
R_70JzgAnroUxIFOP,37.751,-97.822,2.259,4.019,5.052,3.0,4,4,4,1,2,2
